blockchain,mode,workload,cores,ram,secondaries,dataset,link_strategy,network_size,dynamic,n_observed,n_campaigns,first_observed_at,last_observed_at
Algorand,scale-free,PayPal,8,16,10,2023,hop,40 nodes,0,13,3,2024-05-27 16:56:42.147,2025-06-25 02:34:07.817
Algorand,scale-free,VISA,8,16,10,2023,hop,10 nodes,0,13,3,2024-05-27 15:50:50.016,2025-06-24 16:26:24.227
Algorand,scale-free,VISA,8,16,10,2023,hop,40 nodes,0,13,3,2024-05-27 17:20:05.529,2025-06-25 04:31:17.251
Algorand,torus,DDoS,8,16,10,2023,hop,10 nodes,0,13,3,2024-05-04 04:08:43.188,2025-06-25 17:56:53.424
Algorand,torus,DDoS,8,16,10,2023,hop,40 nodes,0,13,3,2024-05-19 10:20:44.628,2025-06-26 06:26:14.610
Algorand,torus,FIFA,8,16,10,2023,hop,10 nodes,0,13,3,2024-05-04 04:22:40.917,2025-06-25 20:12:35.043
Algorand,torus,FIFA,8,16,10,2023,hop,40 nodes,0,13,3,2024-05-19 10:35:22.977,2025-06-26 09:02:46.426
Algorand,torus,GAFAM,8,16,10,2023,hop,10 nodes,0,13,3,2024-05-04 03:49:53.447,2025-06-25 13:14:19.866
Algorand,torus,GAFAM,8,16,10,2023,hop,40 nodes,0,13,3,2024-05-19 09:57:23.011,2025-06-26 00:46:01.142
Algorand,torus,Gaming,8,16,10,2023,hop,10 nodes,0,13,3,2024-05-04 14:13:00.131,2025-06-25 22:28:04.636
Algorand,torus,Gaming,8,16,10,2023,hop,40 nodes,0,13,3,2024-05-19 10:51:37.480,2025-06-26 11:31:44.236
Algorand,torus,PayPal,8,16,10,2023,hop,10 nodes,0,13,3,2024-05-04 03:39:19.841,2025-06-25 14:52:52.596
Algorand,torus,PayPal,8,16,10,2023,hop,40 nodes,0,13,3,2024-05-19 09:44:40.209,2025-06-26 02:47:36.024
Algorand,torus,VISA,8,16,10,2023,hop,10 nodes,0,13,3,2024-05-04 03:58:03.323,2025-06-25 16:33:35.330
Algorand,torus,VISA,8,16,10,2023,hop,40 nodes,0,13,3,2024-05-19 10:07:56.117,2025-06-26 04:45:04.880
Diem,fat-tree,DDoS,8,16,10,2023,hop,10 nodes,0,13,3,2024-05-06 02:47:53.486,2025-07-01 15:55:34.720
Diem,fat-tree,DDoS,8,16,10,2023,hop,40 nodes,0,20,4,2024-05-20 06:00:38.171,2025-07-02 23:09:07.199
Diem,fat-tree,FIFA,8,16,10,2023,hop,10 nodes,0,13,3,2024-05-06 03:09:35.550,2025-07-01 18:56:35.215
Diem,fat-tree,FIFA,8,16,10,2023,hop,40 nodes,0,21,5,2024-05-20 06:19:53.038,2025-07-03 02:08:54.659
Diem,fat-tree,GAFAM,8,16,10,2023,hop,10 nodes,0,13,3,2024-05-06 02:25:15.793,2025-07-01 09:50:33.370
Diem,fat-tree,GAFAM,8,16,10,2023,hop,40 nodes,0,19,4,2024-05-20 05:35:36.233,2025-07-02 17:04:13.662
Diem,fat-tree,Gaming,8,16,10,2023,hop,10 nodes,0,13,3,2024-05-06 03:25:24.102,2025-07-01 21:48:51.476
Diem,fat-tree,Gaming,8,16,10,2023,hop,40 nodes,0,25,6,2024-05-20 06:38:23.897,2025-07-03 05:01:21.666
Diem,fat-tree,PayPal,8,16,10,2023,hop,10 nodes,0,13,3,2024-05-06 02:13:26.867,2025-07-01 11:45:37.343
Diem,fat-tree,PayPal,8,16,10,2023,hop,40 nodes,0,23,6,2024-05-20 05:22:39.510,2025-07-02 18:59:04.968
Diem,fat-tree,VISA,8,16,10,2023,hop,10 nodes,0,11,3,2024-05-06 07:03:21.218,2025-07-01 13:42:10.174
Diem,fat-tree,VISA,8,16,10,2023,hop,40 nodes,0,23,5,2024-05-20 05:47:08.180,2025-07-02 20:56:08.577
Diem,full mesh,DDoS,8,16,10,2023,hop,10 nodes,0,13,3,2024-05-04 22:22:09.595,2025-06-27 20:04:36.615
Diem,full mesh,DDoS,8,16,10,2023,hop,40 nodes,0,11,3,2024-05-19 23:24:25.853,2025-06-28 11:40:01.615
Diem,full mesh,FIFA,8,16,10,2023,hop,10 nodes,0,13,3,2024-05-04 22:41:05.689,2025-06-27 23:05:55.838
Diem,full mesh,FIFA,8,16,10,2023,hop,40 nodes,0,11,3,2024-05-19 23:44:25.771,2025-06-28 14:51:50.144
Diem,full mesh,GAFAM,8,16,10,2023,hop,10 nodes,0,12,3,2024-05-08 17:36:11.374,2025-06-27 13:59:16.559
